id,title,genres,authors,description,readers_count,avg_rating,genre_score
223269,Авторская исповедь,"Литература 19 века,Русская классика",Николай Гоголь,"жанр: эссе
темы: семья, вина, прощение, смысл жизни, идентичность
конфликт: внутренний конфликт, противоречие между идеалами и реальностью
смысл: Авторская исповедь представляет собой размышления о жизни и творчестве, исследование внутреннего мира и поиск смысла существования.",10,3.7,898
4432,"Ада, или Радости страсти","Зарубежная классика,Литература 20 века,Русская классика",Владимир Набоков,"жанр: роман
темы: любовь, семья, идентичность, эмоции, отношения
конфликт: внутренний конфликт, семейные противоречия
смысл: исследование сложностей человеческих отношений и эмоций, изучение семейной динамики и личностного роста.",23,4.5,898
61431,Адское пламя,"Литература 20 века,Русская классика",Иван Ефремов,"жанр: научная фантастика
темы: космос, эволюция, биология
конфликт: противоречие между прогрессом и опасностью
смысл: исследование последствий научных открытий, борьба за выживание в космосе",18,4.8,898
95821,Азартные игры в старину,"Литература 19 века,Русская классика",Михаил Пыляев,"жанр: исторический роман
темы: азарт, игры, история, общество, традиции
конфликт: социальное неравенство, конфликт интересов
смысл: Описание жизни и азартных игр в прошлом, социальные аспекты игровой культуры.",13,5.0,898
252708,Акварель,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,"жанр: роман
темы: любовь, семья, одиночество
конфликт: внутренний конфликт, социальные нормы
смысл: История о поиске смысла жизни, исследование человеческих отношений и эмоций.",10,4.5,898
161904,Алатырь,"Литература 20 века,Русская классика",Евгений Замятин,"жанр: фэнтези
темы: любовь, власть, идентичность, свобода, конфликт
конфликт: борьба за власть, внутренний конфликт
смысл: исследование человеческой природы, поиск смысла жизни",17,3.0,898
292471,Алгебра,Русская классика,Семен Юшкевич,"жанр: роман
темы: семья, одиночество, самопознание
конфликт: внутренний конфликт, конфликт поколений
смысл: История о поиске себя и понимании отношений, исследование внутреннего мира героя.",24,4.0,898
39213,Алмазная карта,"Литература 20 века,Русская классика",Варлам Шаламов,"жанр: рассказ
темы: одиночество, страдание, выживание, опасность, конфликт
конфликт: борьба за выживание, внутренний конфликт
смысл: история о выживании и внутренней борьбе, рассказывающая о человеческой способности к сопротивлению и стойкости в экстремальных условиях.",15,4.5,898
104721,Алёша-дурачок,"Литература 19 века,Русская классика",Леонид Андреев,"жанр: рассказ
темы: семья, вина, прощение
конфликт: внутренний конфликт, конфликт
смысл: История о человеке, который проходит через процесс самопознания и прощения, смысл жизни и свободы выбора.",11,5.0,898
166507,Амена,"Литература 19 века,Русская классика",Алексей Толстой,"жанр: исторический роман
темы: любовь, семья, власть, революция, война
конфликт: борьба за власть, социальные изменения
смысл: история о жизни и борьбе людей в период социальных потрясений, исследование человеческих отношений и конфликтов в условиях войны и революции.",10,5.0,898
147795,Анатэма,"Пьесы и драматургия,Русская классика",Леонид Андреев,"жанр: рассказ
темы: вина, прощение, смысл жизни, страдание, смерть
конфликт: внутренний конфликт, моральный конфликт
смысл: История о поиске смысла жизни и борьбе с внутренними муками, исследование тем вины и прощения.",12,5.0,898
289279,Анафема,"Литература 20 века,Русская классика",Александр Куприн,"жанр: рассказ
темы: семья, вина, прощение
конфликт: внутренний конфликт, семейные противоречия
смысл: История о сложных семейных отношениях и поиске прощения, исследует темы вины и внутреннего конфликта.",12,3.7,898
239480,Ангелочек,"Литература 19 века,Русская классика",Леонид Андреев,"жанр: рассказ
темы: любовь, семья, смерть
конфликт: внутренний конфликт, конфликт
смысл: История о сложных отношениях и эмоциях, исследующая человеческую природу.",18,3.8,898
298911,Андрей Колосов,"Литература 19 века,Русская классика",Иван Тургенев,"жанр: роман
темы: любовь, семья, одиночество, вина, прощение
конфликт: внутренний конфликт, социальные противоречия
смысл: История жизни Андрея Колосова, исследование его внутреннего мира и отношений с окружающими.",15,4.5,898
7143,Светлана,"Старинная литература,Русская классика",Василий Жуковский,NO DESCRIPTION,28,5.0,898
70076,Светлая личность,"Литература 20 века,Русская классика","Илья Ильф,Евгений Петров","жанр: повесть
темы: смысл жизни, идентичность, самопознание, внутренний конфликт, мораль
конфликт: поиск смысла жизни, преодоление внутреннего конфликта
смысл: Герой ищет свой путь и пытается понять себя и свое место в жизни. Повесть описывает его внутренние переживания и поиск смысла.",14,4.0,898
185394,Свидание,"Зарубежная классика,Литература 19 века,Русская классика",Максим Горький,"жанр: рассказ
темы: любовь, одиночество, внутренний конфликт, самопознание, отношения
конфликт: Противоречия в отношениях, эмоциональный конфликт
смысл: Рассказ о встрече и взаимоотношениях двух людей, анализ их эмоций и ожиданий.",14,4.0,898
51840,Свободная любовь,Русская классика,Лев Толстой,"жанр: роман
темы: любовь, свобода, выбор, мораль, внутренний конфликт
конфликт: противоречия между личными желаниями и социальными нормами
смысл: роман описывает сложности человеческих отношений и поиска смысла жизни.",13,4.7,898
259540,Свои люди – сочтемся,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,"жанр: пьеса
темы: семья, общество, мораль, деньги, отношения
конфликт: столкновение интересов, борьба за наследство
смысл: Пьеса рассказывает о жизни купеческой семьи и взаимоотношениях её членов.",54,4.9,898
101806,"Свои собаки грызутся, чужая не приставай","Старинная литература,Русская классика",Александр Островский,"жанр: повесть
темы: семья, конфликт, власть, социальные нормы, мораль
конфликт: Противоречия между членами семьи и социальными ожиданиями.
смысл: Повесть описывает сложные взаимоотношения в семье и обществе.",13,5.0,898
122715,Ряженые,"Литература 19 века,Русская классика",Алексей Будищев,"жанр: повесть
темы: общество, мораль, внутренний конфликт, идентичность, выбор
конфликт: Противоречия между внешними ожиданиями и внутренними убеждениями. 
смысл: Герои повести сталкиваются с необходимостью выбора между лицемерным благополучием и честностью перед собой и обществом.",8,5.0,898
204985,С голоду,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,"жанр: повесть
темы: голод, выживание, семья, дети, общество
конфликт: Голод и нужда против человеческих сил и духа.
смысл: Повесть описывает жизнь людей в условиях голода и трудностей.",18,5.0,898
222133,Самоцветы,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,"жанр: повесть
темы: семья, дети, выживание
конфликт: Отношения между старателями и детьми
смысл: Повесть о приключениях детей в тайге.",19,4.6,898
263933,Сатиры,"Старинная литература,Русская классика",Саша Чёрный,"жанр: сатира
темы: общество, мораль, внутренний конфликт, власть, коррупция
конфликт: противоречия в обществе, критика власти
смысл: произведение содержит критический взгляд на общество и власть.",15,5.0,898
33305,Сестры,"Литература 20 века,Русская классика",Викентий Вересаев,"жанр: повесть
темы: семья, взросление, выбор, внутренний конфликт, отношения
конфликт: Противоречия между сестрами, выбор жизненного пути.
смысл: Повесть о взаимоотношениях сестёр и их выборе в жизни.",17,5.0,898
112818,Сигнал,"Литература 19 века,Русская классика",Всеволод Гаршин,"жанр: рассказ
темы: одиночество, смерть, вина, прощение, смысл жизни
конфликт: внутренний конфликт героя, столкновение с реальностью
смысл: рассказ о судьбе человека, столкнувшегося с трагическими обстоятельствами. Герой переживает сложный внутренний конфликт.",17,4.7,898
30722,Синодальный философ,"Литература 19 века,Русская классика",Николай Лесков,"жанр: философская проза
темы: смысл жизни, внутренний конфликт, самопознание, идентичность, мораль
конфликт: поиск истины, внутренние противоречия
смысл: произведение о поиске смысла жизни и самопознании.",13,5.0,898
259557,Язвительный,"Литература 19 века,Русская классика",Николай Лесков,"жанр: повесть
темы: мораль, внутренний конфликт, самопознание, идентичность, психология личности
конфликт: противоречия в личности, поиск смысла
смысл: описание внутреннего мира человека, анализ его мыслей и чувств",10,4.5,898
60156,Яма,"Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: любовь, проституция, одиночество, вина, мораль, внутренний конфликт
конфликт: столкновение с жестокой реальностью, внутренний разлад
смысл: Описание жизни проституток и их внутреннего мира.",257,4.9,898
61579,…И всему роду твоему,Русская классика,Константин Воробьев,"жанр: повесть
темы: война, выживание, героизм, предательство, семья
конфликт: Противоречия в условиях военного времени, проблема выживания.
смысл: Повествование о военных событиях и судьбах людей в условиях войны. Описание военных действий и их влияния на персонажей.",16,3.0,898
150216,Анна Владимировна,Русская классика,Викентий Вересаев,"жанр: роман
темы: семья, любовь, одиночество, страдание, прощение
конфликт: внутренний конфликт, семейные противоречия
смысл: История жизни Анны Владимировны, ее борьба и поиск смысла жизни. Описание ее отношений и внутренних конфликтов.",21,4.8,898
169853,Анна Каренина,"Литература 19 века,Русская классика",Лев Толстой,"жанр: роман
темы: любовь, семья, вина, прощение, смысл жизни
конфликт: внутренний конфликт, социальные нормы
смысл: История о жизни и отношениях Анны Карениной, исследующая темы любви, семьи и социальных норм. Роман раскрывает внутренние конфликты и борьбу персонажей за смысл жизни.",827,4.8,898
272281,Анна на шее,"Литература 19 века,Русская классика",Антон Чехов,"жанр: рассказ
темы: любовь, семья, одиночество
конфликт: внутренний конфликт, социальные нормы
смысл: История о поиске счастья и самоопределении, исследование человеческих отношений и социальных ожиданий.",76,4.5,898
232619,Антигона,Русская классика,Иван Бунин,"жанр: драма
темы: семья, вина, прощение, смерть, конфликт
конфликт: внутренний конфликт, социальный конфликт
смысл: История о борьбе личности с общественными нормами, исследование человеческих отношений и конфликтов.",20,4.2,898
25212,Антоша Чехонте,"Литература 20 века,Русская классика",Владимир Гиляровский,"жанр: биография
темы: детство, дружба, семья, идентичность, отношения
конфликт: внутренний конфликт, конфликт поколений
смысл: Описание жизни Антоши Чехонте, его отношений и внутренних конфликтов. Изучение его идентичности и места в обществе.",21,4.8,898
87978,Анфиса,"Пьесы и драматургия,Русская классика",Леонид Андреев,"жанр: рассказ
темы: любовь, семья, вина
конфликт: внутренний конфликт, конфликт отношений
смысл: История о сложных отношениях и внутренних конфликтах, исследующая темы любви и вины.",22,4.7,898
114185,Апельсины,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,"жанр: фэнтези
темы: любовь, свобода, идентичность, выживание, опасность
конфликт: внутренний конфликт, конфликт с обществом
смысл: История о поиске смысла жизни и самоопределении, разворачивающаяся в фантастическом мире.",15,5.0,898
146769,Синяя звезда,"Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: любовь, семья, выбор, смысл жизни, внутренний конфликт
конфликт: противоречия в отношениях, поиск смысла
смысл: повествование о сложных отношениях и поиске жизненного пути.",8,4.8,898
108710,Рудин,Русская классика,Иван Тургенев,"жанр: роман
темы: любовь, внутренний конфликт, выбор, мораль, смысл жизни
конфликт: Противоречия между идеалами и реальностью, столкновение личных убеждений и общественных ожиданий.
смысл: Роман о поиске смысла жизни и своего места в обществе, о сложностях человеческих отношений и выборах, определяющих судьбу.",22,4.8,898
58789,"Рукопись, найденная под кроватью","Литература 20 века,Русская классика",Алексей Толстой,"жанр: повесть
темы: семья, смерть, страдание, вина, прощение, внутренний конфликт
конфликт: Противоречия в семейных отношениях. Борьба с чувствами вины и прощения.
смысл: Повесть описывает историю семьи и внутренние конфликты, связанные с трагическими событиями.",17,4.0,898
216337,Русские женщины,"Старинная литература,Русская классика",Николай Некрасов,"жанр: поэзия
темы: любовь, семья, страдание, свобода, выбор, мораль
конфликт: Противоречия в жизни и судьбе женщин.
смысл: В поэзии Некрасов описывает жизнь и судьбу русских женщин.",25,4.5,898
135542,Русский в Париже 1814 года,"Литература 19 века,Русская классика",Николай Бестужев,"жанр: исторический роман
темы: война, общество, политика, культура, история
конфликт: Противоречия между русским обществом и французской культурой, столкновение интересов во время войны.
смысл: Описание событий 1814 года в Париже и участие русских в них.",26,4.4,898
771,Русский вопрос,"Пьесы и драматургия,Литература 20 века,Русская классика,Советская литература",Константин Симонов,"жанр: роман
темы: война, политика, общество, государство, насилие, конфликт
конфликт: Противоречия между странами и идеологиями. 
смысл: Описание событий и их влияние на людей.",11,5.0,898
297462,Руся,Русская классика,Иван Бунин,"жанр: повесть
темы: любовь, одиночество, страдание, вина, прощение
конфликт: внутренние противоречия героини, неразделенная любовь
смысл: повесть о сложных эмоциональных переживаниях и поисках смысла жизни.",11,5.0,898
129243,Рождение человека,"Литература 20 века,Русская классика",Максим Горький,"жанр: повесть
темы: семья, детство, взросление
конфликт: Формирование личности в сложных условиях
смысл: Повесть описывает ранние годы жизни главного героя и его взросление.",13,5.0,898
124513,Ягоды,Русская классика,Варлам Шаламов,"жанр: повесть
темы: выживание, лагерь, свобода
конфликт: Заключение в исправительном лагере. Борьба за выживание.
смысл: Повесть о переживаниях заключённых в исправительном лагере. Описание трудностей и условий жизни в лагере.",16,4.5,898
225896,Апокалипсис нашего времени,"Книги по философии,Литература 20 века,Русская классика",Василий Розанов,"жанр: философская проза
темы: апокалипсис, выживание, опасность, будущее
конфликт: конфликт между людьми и катастрофой, борьба за выживание
смысл: книга исследует последствия апокалипсиса и его влияние на человечество, описывая борьбу за выживание в условиях катастрофы.",11,4.2,898
109057,Апостол Павел,Русская классика,Варлам Шаламов,"жанр: биография
темы: религия, духовность, история
конфликт: внутренний конфликт, конфликт поколений
смысл: Описание жизни Апостола Павла, его духовный путь и историческое значение.",8,5.0,898
25295,Аптекарша,"Старинная литература,Русская классика",Владимир Соллогуб,"жанр: роман
темы: любовь, семья, власть
конфликт: внутренний конфликт, социальное неравенство
смысл: История о жизни и отношениях, Исследование социальных проблем",13,5.0,898
220733,Арап Петра Великого,"Литература 19 века,Русская классика",Александр Пушкин,"жанр: исторический роман
темы: власть, государство, политика
конфликт: борьба за власть, социальное неравенство
смысл: История о жизни Ибрагима, арапа Петра Великого, и его месте в истории России. Рассказывает о сложностях власти и социальных отношений в тот период.",114,4.6,898
216629,Архиерей,"Литература 19 века,Русская классика",Антон Чехов,"жанр: повесть
темы: церковь, власть, общество, мораль, внутренний конфликт, идентичность
конфликт: противоречия в обществе, внутренний конфликт героя
смысл: Описание жизни архиерея и его размышления о смысле жизни и церкви.",16,5.0,898
221518,Архиерейские объезды,"Литература 19 века,Русская классика",Николай Лесков,"жанр: классическая проза
темы: церковь, власть, общество, мораль, конфликт поколений
конфликт: противоречия между церковной властью и обществом
смысл: Описание жизни и деятельности архиереев в Русской православной церкви.",13,5.0,898
179925,Ассирийский царь Асархадон,"Литература 20 века,Русская классика",Лев Толстой,"жанр: историческая проза
темы: власть, политика, государство
конфликт: борьба за власть, противостояние с соседними странами
смысл: Описание жизни и деятельности ассирийского царя Асархадона, его военных кампаний и внутренней политики.",17,5.0,898
14022,Роман в девяти письмах,"Литература 19 века,Русская классика",Федор Достоевский,"жанр: роман
темы: любовь, семья, внутренний конфликт, мораль, выбор
конфликт: Противоречия в отношениях между героями, выбор жизненного пути.
смысл: Роман описывает события из жизни героев через их переписку.",16,4.0,898
197474,Рассказы. Повести. 1894-1897,"Литература 19 века,Русская классика",Антон Чехов,"жанр: повесть
темы: любовь, одиночество, смысл жизни, внутренний конфликт, самопознание
конфликт: противоречия в жизни и сознании героев
смысл: произведение представляет собой сборник рассказов и повестей, отражающих жизнь и проблемы людей конца XIX века.",15,5.0,898
281049,Рахиль,"Пьесы и драматургия,Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: любовь, семья, страдание, вина, прощение, внутренний конфликт
конфликт: Семейный конфликт, проблема вины и прощения
смысл: Повесть о сложных семейных отношениях и поиске выхода из трудной ситуации. История показывает внутренние переживания и борьбу персонажей.",17,5.0,898
135764,Ребята,"Литература 20 века,Русская классика",Викентий Вересаев,"жанр: повесть
темы: детство, взросление, семья
конфликт: столкновение поколений, поиск смысла жизни
смысл: Описание жизни и взросления группы подростков, их взаимоотношений и поиска своего места в жизни.",13,5.0,898
29261,Ревизор,"Пьесы и драматургия,Литература 19 века,Русская классика",Николай Гоголь,"жанр: комедия
темы: власть, коррупция, общество, социальные нормы, мораль
конфликт: Борьба с взяточничеством и обманом, Столкновение интересов
смысл: Пьеса описывает ситуацию, когда в город приезжает человек, которого принимают за ревизора, и разоблачает коррупцию среди местных чиновников.",24,4.6,898
120652,Редиард Киплинг,Русская классика,Александр Куприн,NO DESCRIPTION,17,5.0,898
145538,Река Потудань,"Литература 20 века,Русская классика,Советская литература",Андрей Платонов,"жанр: классическая проза
темы: любовь, семья, взросление, одиночество, смысл жизни
конфликт: поиск смысла жизни, преодоление внутреннего конфликта
смысл: Герой ищет смысл жизни и пытается найти свое место в мире. Повествование отражает сложности человеческих отношений и внутреннего мира.",15,4.0,898
48283,Река играет,"Литература 19 века,Русская классика",Владимир Короленко,"жанр: классическая проза
темы: природа, одиночество, свобода, выживание, внутренний конфликт
конфликт: Противоречие между стремлением к свободе и необходимостью выживания.
смысл: Герой произведения сталкивается с вызовами природы и внутреннего конфликта.",6,4.5,898
91271,Репетитор,Русская классика,Надежда Тэффи,"жанр: повесть
темы: образование, семья, взросление
конфликт: противоречия в отношениях учительницы и ученика
смысл: повествование о сложных взаимоотношениях учительницы и ученика.",11,4.7,898
225349,"Баба-Яга, Костяная Нога. Русская народная сказка в стихах. В осьми главах.","Старинная литература,Русская классика",Николай Некрасов,"жанр: классическая поэзия
темы: магия, мистика, сверхъестественное, приключение, героизм, выживание
конфликт: Противостояние добра и зла, борьба героя со злыми силами.
смысл: Герой сталкивается с испытаниями и преодолевает их, в итоге достигая цели.",13,5.0,898
37456,Бабушка Акулина,"Литература 19 века,Русская классика",Максим Горький,"жанр: повесть
темы: семья, детство, взросление, одиночество, бабушка
конфликт: Отношения между бабушкой и внуком
смысл: Повесть о жизни бабушки Акулины и её влиянии на внука.",18,5.0,898
188018,Бабы,Русская классика,Антон Чехов,"жанр: повесть
темы: семья, общество, женщины
конфликт: социальные ограничения, личностная реализация
смысл: Описание жизни и быта крестьянских женщин.",15,,898
101443,Бабье царство,Русская классика,Антон Чехов,"жанр: повесть
темы: семья, власть, социальный статус, отношения, мораль
конфликт: Борьба за власть и влияние в обществе
смысл: Повесть описывает события, происходящие в небольшом городе, где главной темой становится противостояние различных социальных групп и личностей.",20,3.2,898
313624,Баймаган,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,"жанр: повесть
темы: семья, взросление, одиночество, смысл жизни, выбор
конфликт: Противоречия в семье, поиск смысла жизни.
смысл: Повесть о сложностях семейных отношений и поиске жизненного пути.",20,3.0,898
148314,Баллада,Русская классика,Иван Бунин,"жанр: новелла
темы: любовь, одиночество, смерть, страдание, внутренний конфликт
конфликт: Противоречие между жизнью и смертью, между чувствами и реальностью.
смысл: Герой переживает глубокую эмоциональную драму, сталкиваясь с потерей и одиночеством. Новелла описывает внутренний мир человека в момент кризиса.",11,5.0,898
27859,Юность,"Литература 19 века,Русская классика",Лев Толстой,"жанр: роман
темы: взросление, одиночество, самопознание, идентичность, внутренний конфликт
конфликт: поиск смысла жизни, преодоление внутренних противоречий
смысл: роман описывает процесс взросления и поиска своего места в жизни.",27,3.8,898
296892,Юношеские годы Пушкина,"Литература 19 века,Русская классика",Василий Авенариус,"жанр: биография
темы: детство, взросление, литература
конфликт: становление личности в юношеские годы, влияние среды на формирование поэта
смысл: Книга описывает юношеские годы жизни Александра Пушкина.",15,4.7,898
42949,Юра,Русская классика,Викентий Вересаев,"жанр: повесть
темы: детство, взросление, семья
конфликт: противоречия взросления, поиск своего места
смысл: Описание жизни и взросления героя.",11,5.0,898
43937,Юристка,"Литература 19 века,Русская классика",Антон Чехов,"жанр: повесть
темы: семья, общество, мораль, выбор, смысл жизни, идентичность
конфликт: Противоречия в семейных отношениях, поиск смысла жизни
смысл: Повесть о жизненных ценностях и поиске своего места в обществе.",10,4.8,898
268929,Юрта Ворона,"Литература 20 века,Русская классика,Советская литература",Иван Ефремов,"жанр: научная фантастика
темы: космос, путешествия, выживание, опасность, героизм
конфликт: Противоречия между стремлением к открытиям и опасностью в космосе.
смысл: Книга рассказывает о приключениях в космическом пространстве.",12,5.0,898
